0.005,110.9
0.01,73.4
0.015,73.5
0.02,73.4
0.025,81.2
0.03,79.6
0.035,82.8
0.04,76.5
0.045,78.1
0.05,76.6
0.055,75.0
0.06,73.5
0.065,75.1
0.07,71.9
0.075,70.3
0.08,75.0
0.085,76.6
0.09,81.3
0.095,79.7
0.1,82.8
0.105,79.7
0.11,78.1
0.115,89.0
0.12,76.6
0.125,79.7
0.13,75.0
0.135,78.1
0.14,75.0
0.145,75.8
0.15,78.1
0.155,80.3
0.16,75.1
0.165,78.1
0.17,73.4
0.175,71.9
0.18,74.9
0.185,71.9
0.19,75.0
0.195,82.8
0.2,75.0
0.205,73.5
0.21,76.5
0.215,71.9
0.22,71.8
0.225,71.9
0.23,73.5
0.235,73.4
0.24,71.9
0.245,71.9
0.25,71.9
