Distance,Steps
2.0187157543693037,5
2.0050789391606014,5
2.021648985212981,5
2.0216489852129813,5
2.0178835734835774,5
1.9392444533796616,5
2.0418340277284477,5
1.903321545697543,5
2.176675760196544,5
2.2575718928951,5
2.968528100585528,10
2.8232930745410267,10
2.7340736632234433,10
2.7715493676156835,10
2.462898300440666,10
2.2546287771722944,10
2.7938153902676666,10
2.7608436176460662,10
2.6605679112295824,10
2.742972443062901,10
3.3196409669466362,11
2.6380630686286692,11
2.978188144518165,11
3.2538538877716676,11
3.0777855806217014,11
2.6617384957394568,11
3.3951004742839244,11
3.0747981212441515,11
3.3972774250136326,11
2.5430230791335293,11
3.4992977890274672,16
3.214992219717798,16
3.681385437187409,16
3.255939622419623,16
3.984684869589422,16
4.141550381298377,16
3.2690344929154302,16
2.917512410232325,16
3.3694829348639,16
3.203885879801412,16
4.026363016282583,23
4.194077744962802,23
4.354323243452407,23
3.757850432326083,23
5.2873171121466935,23
3.822731584966479,23
4.431195119331085,23
4.089935276955099,23
3.870641443126831,23
4.207674774684125,23
5.254099188156941,30
4.263569909478851,30
4.837065864406446,30
4.1655955167256415,30
4.024316673123392,30
5.697129487473445,30
4.569692658416009,30
5.0362587257214795,30
3.846985893521003,30
4.2379520752501465,30
